class_id,vertices,n_types,types,n_realizations,K,one_example_mu_to_lambda_per_type
23410,12,3,B3+B4+F4,4,1q^2 + 5q^3 + 5q^4 + 4q^5 + 2q^6 + 1q^7,B3: (0 2 1) -> (2 1 3) ; B4: (2 0 2 1) -> (0 2 1 3) ; F4: (0 2 1 3) -> (2 1 3 0)
23411,13,3,B3+B4+F4,5,2q^2 + 3q^3 + 4q^4 + 2q^5 + 1q^6,B3: (0 2 1) -> (2 2 1) ; B4: (2 0 2 1) -> (0 2 2 1) ; F4: (0 2 1 2) -> (2 2 1 0)
23418,10,3,B3+B4+F4,20,1q^2 + 2q^3 + 1q^4 + 1q^5,B3: (0 2 1) -> (3 0 3) ; B4: (2 0 2 1) -> (0 3 0 3) ; F4: (0 2 1 2) -> (3 0 3 0)
23419,8,3,B3+B4+F4,150,1q^2 + 2q^3 + 1q^4,B3: (0 2 1) -> (3 1 1) ; B4: (2 0 2 1) -> (0 3 1 1) ; F4: (0 2 1 1) -> (3 1 1 0)
23423,11,3,B3+B4+F4,3,2q^3 + 5q^4 + 7q^5 + 6q^6 + 4q^7 + 2q^8 + 1q^9,B3: (0 2 1) -> (3 2 1) ; B4: (3 0 2 1) -> (0 3 2 1) ; F4: (0 2 1 3) -> (3 2 1 0)
23430,12,3,B3+B4+F4,9,1q + 1q^2 + 3q^3 + 1q^4 + 1q^5,B3: (0 2 2) -> (0 3 2) ; B4: (1 0 2 2) -> (0 0 3 2) ; F4: (0 2 2 2) -> (0 3 2 0)
23434,13,3,B3+B4+F4,4,1q^2 + 4q^3 + 6q^4 + 6q^5 + 4q^6 + 2q^7 + 1q^8,B3: (0 2 2) -> (1 3 2) ; B4: (2 0 2 2) -> (0 1 3 2) ; F4: (0 2 2 3) -> (1 3 2 0)
23436,14,3,B3+B4+F4,5,3q^2 + 4q^3 + 5q^4 + 2q^5 + 1q^6,B3: (0 2 2) -> (2 2 2) ; B4: (2 0 2 2) -> (0 2 2 2) ; F4: (0 2 2 2) -> (2 2 2 0)
23438,12,3,B3+B4+F4,9,2q^3 + 1q^4 + 1q^5,B3: (0 2 2) -> (2 3 0) ; B4: (2 0 2 2) -> (0 2 3 0) ; F4: (0 2 2 1) -> (2 3 0 0)
23444,12,3,B3+B4+F4,3,2q^3 + 7q^4 + 9q^5 + 7q^6 + 5q^7 + 2q^8 + 1q^9,B3: (0 2 2) -> (3 2 2) ; B4: (3 0 2 2) -> (0 3 2 2) ; F4: (0 2 2 3) -> (3 2 2 0)
23446,13,3,B3+B4+F4,4,2q^3 + 3q^4 + 4q^5 + 3q^6 + 1q^7 + 1q^8,B3: (0 2 2) -> (3 3 0) ; B4: (3 0 2 2) -> (0 3 3 0) ; F4: (0 2 2 2) -> (3 3 0 0)
23450,10,3,B3+B4+F4,21,1q + 1q^2 + 3q^3 + 1q^4 + 1q^5,B3: (0 2 3) -> (0 3 3) ; B4: (1 0 2 3) -> (0 0 3 3) ; F4: (0 2 3 2) -> (0 3 3 0)
23452,13,3,B3+B4+F4,4,1q^2 + 4q^3 + 7q^4 + 7q^5 + 4q^6 + 2q^7 + 1q^8,B3: (0 2 3) -> (1 3 3) ; B4: (2 0 2 3) -> (0 1 3 3) ; F4: (0 2 3 3) -> (1 3 3 0)
23453,12,3,B3+B4+F4,8,3q^2 + 4q^3 + 5q^4 + 2q^5 + 1q^6,B3: (0 2 3) -> (2 2 3) ; B4: (2 0 2 3) -> (0 2 2 3) ; F4: (0 2 3 2) -> (2 2 3 0)
23454,10,3,B3+B4+F4,21,1q^2 + 3q^3 + 2q^4 + 1q^5,B3: (0 2 3) -> (2 3 1) ; B4: (2 0 2 3) -> (0 2 3 1) ; F4: (0 2 3 1) -> (2 3 1 0)
23458,12,3,B3+B4+F4,3,3q^3 + 8q^4 + 10q^5 + 8q^6 + 5q^7 + 2q^8 + 1q^9,B3: (0 2 3) -> (3 2 3) ; B4: (3 0 2 3) -> (0 3 2 3) ; F4: (0 2 3 3) -> (3 2 3 0)
23460,13,3,B3+B4+F4,4,2q^3 + 5q^4 + 6q^5 + 4q^6 + 2q^7 + 1q^8,B3: (0 2 3) -> (3 3 1) ; B4: (3 0 2 3) -> (0 3 3 1) ; F4: (0 2 3 2) -> (3 3 1 0)
23463,12,3,B3+B4+F4,8,2q^2 + 1q^3 + 3q^4 + 1q^5 + 1q^6,B3: (0 3 0) -> (0 3 2) ; B4: (1 0 3 0) -> (0 0 3 2) ; F4: (0 3 0 3) -> (0 3 2 0)
23470,14,3,B3+B4+F4,4,4q^3 + 4q^4 + 5q^5 + 2q^6 + 1q^7,B3: (0 3 0) -> (2 2 2) ; B4: (2 0 3 0) -> (0 2 2 2) ; F4: (0 3 0 3) -> (2 2 2 0)
23472,12,3,B3+B4+F4,8,2q^2 + 1q^3 + 3q^4 + 1q^5 + 1q^6,B3: (0 3 0) -> (2 3 0) ; B4: (2 0 3 0) -> (0 2 3 0) ; F4: (0 3 0 2) -> (2 3 0 0)
23477,10,3,B3+B4+F4,20,1q^2 + 2q^3 + 2q^4 + 1q^5,B3: (0 3 0) -> (3 1 2) ; B4: (2 0 3 0) -> (0 3 1 2) ; F4: (0 3 0 2) -> (3 1 2 0)
23482,14,3,B3+B4+F4,3,2q^4 + 3q^5 + 4q^6 + 3q^7 + 1q^8 + 1q^9,B3: (0 3 0) -> (3 3 0) ; B4: (3 0 3 0) -> (0 3 3 0) ; F4: (0 3 0 3) -> (3 3 0 0)
23486,11,3,B3+B4+F4,8,2q^2 + 2q^3 + 3q^4 + 1q^5 + 1q^6,B3: (0 3 1) -> (0 3 3) ; B4: (1 0 3 1) -> (0 0 3 3) ; F4: (0 3 1 3) -> (0 3 3 0)
23489,13,3,B3+B4+F4,4,1q^2 + 5q^3 + 5q^4 + 5q^5 + 2q^6 + 1q^7,B3: (0 3 1) -> (2 2 3) ; B4: (2 0 3 1) -> (0 2 2 3) ; F4: (0 3 1 3) -> (2 2 3 0)
23490,11,3,B3+B4+F4,8,2q^2 + 3q^3 + 4q^4 + 2q^5 + 1q^6,B3: (0 3 1) -> (2 3 1) ; B4: (2 0 3 1) -> (0 2 3 1) ; F4: (0 3 1 2) -> (2 3 1 0)
23493,8,3,B3+B4+F4,68,1q^2 + 2q^3 + 2q^4 + 1q^5,B3: (0 3 1) -> (3 1 3) ; B4: (2 0 3 1) -> (0 3 1 3) ; F4: (0 3 1 2) -> (3 1 3 0)
23497,13,3,B3+B4+F4,3,2q^3 + 5q^4 + 7q^5 + 7q^6 + 4q^7 + 2q^8 + 1q^9,B3: (0 3 1) -> (3 3 1) ; B4: (3 0 3 1) -> (0 3 3 1) ; F4: (0 3 1 3) -> (3 3 1 0)
23501,12,3,B3+B4+F4,8,3q^2 + 4q^3 + 5q^4 + 2q^5 + 1q^6,B3: (0 3 2) -> (2 3 2) ; B4: (2 0 3 2) -> (0 2 3 2) ; F4: (0 3 2 2) -> (2 3 2 0)
23505,14,3,B3+B4+F4,3,2q^3 + 7q^4 + 9q^5 + 8q^6 + 5q^7 + 2q^8 + 1q^9,B3: (0 3 2) -> (3 3 2) ; B4: (3 0 3 2) -> (0 3 3 2) ; F4: (0 3 2 3) -> (3 3 2 0)
23507,10,3,B3+B4+F4,20,3q^2 + 4q^3 + 5q^4 + 2q^5 + 1q^6,B3: (0 3 3) -> (2 3 3) ; B4: (2 0 3 3) -> (0 2 3 3) ; F4: (0 3 3 2) -> (2 3 3 0)
23509,14,3,B3+B4+F4,3,3q^3 + 8q^4 + 10q^5 + 9q^6 + 5q^7 + 2q^8 + 1q^9,B3: (0 3 3) -> (3 3 3) ; B4: (3 0 3 3) -> (0 3 3 3) ; F4: (0 3 3 3) -> (3 3 3 0)
23514,13,3,B3+B4+F4,5,1q^3 + 2q^5 + 1q^7,B3: (1 0 0) -> (0 2 0) ; B4: (1 1 0 0) -> (0 0 2 0) ; F4: (1 0 0 3) -> (0 2 0 0)
23522,11,3,B3+B4+F4,18,1q^2 + 1q^3 + 2q^4 + 1q^5 + 1q^6,B3: (1 0 0) -> (1 0 2) ; B4: (1 1 0 0) -> (0 1 0 2) ; F4: (1 0 0 3) -> (1 0 2 0)
23524,11,3,B3+B4+F4,21,1q + 1q^2 + 1q^3 + 1q^4 + 1q^5,B3: (1 0 0) -> (1 1 0) ; B4: (1 1 0 0) -> (0 1 1 0) ; F4: (1 0 0 2) -> (1 1 0 0)
23539,13,3,B3+B4+F4,4,2q^4 + 1q^5 + 2q^6 + 1q^7 + 1q^8,B3: (1 0 0) -> (2 1 0) ; B4: (2 1 0 0) -> (0 2 1 0) ; F4: (1 0 0 3) -> (2 1 0 0)
23551,11,3,B3+B4+F4,8,1q^2 + 1q^4 + 1q^6,B3: (1 0 0) -> (3 0 0) ; B4: (2 1 0 0) -> (0 3 0 0) ; F4: (1 0 0 2) -> (3 0 0 0)
23570,13,3,B3+B4+F4,5,1q^2 + 2q^3 + 2q^4 + 2q^5 + 1q^6 + 1q^7,B3: (1 0 1) -> (0 2 1) ; B4: (1 1 0 1) -> (0 0 2 1) ; F4: (1 0 1 3) -> (0 2 1 0)
23577,11,3,B3+B4+F4,18,2q^2 + 2q^3 + 2q^4 + 1q^5 + 1q^6,B3: (1 0 1) -> (1 0 3) ; B4: (1 1 0 1) -> (0 1 0 3) ; F4: (1 0 1 3) -> (1 0 3 0)
23578,11,3,B3+B4+F4,21,1q + 2q^2 + 2q^3 + 2q^4 + 1q^5,B3: (1 0 1) -> (1 1 1) ; B4: (1 1 0 1) -> (0 1 1 1) ; F4: (1 0 1 2) -> (1 1 1 0)
23592,14,3,B3+B4+F4,4,1q^2 + 3q^3 + 4q^4 + 4q^5 + 3q^6 + 2q^7 + 1q^8,B3: (1 0 1) -> (2 1 1) ; B4: (2 1 0 1) -> (0 2 1 1) ; F4: (1 0 1 3) -> (2 1 1 0)
23603,12,3,B3+B4+F4,8,1q^2 + 1q^3 + 2q^4 + 1q^5 + 1q^6,B3: (1 0 1) -> (3 0 1) ; B4: (2 1 0 1) -> (0 3 0 1) ; F4: (1 0 1 2) -> (3 0 1 0)
23620,13,3,B3+B4+F4,5,1q^2 + 3q^3 + 2q^4 + 3q^5 + 1q^6 + 1q^7,B3: (1 0 2) -> (0 2 2) ; B4: (1 1 0 2) -> (0 0 2 2) ; F4: (1 0 2 3) -> (0 2 2 0)
23622,13,3,B3+B4+F4,6,1q^2 + 1q^3 + 2q^4 + 1q^6,B3: (1 0 2) -> (0 3 0) ; B4: (1 1 0 2) -> (0 0 3 0) ; F4: (1 0 2 2) -> (0 3 0 0)
23626,11,3,B3+B4+F4,21,1q + 3q^2 + 3q^3 + 2q^4 + 1q^5,B3: (1 0 2) -> (1 1 2) ; B4: (1 1 0 2) -> (0 1 1 2) ; F4: (1 0 2 2) -> (1 1 2 0)
23628,10,3,B3+B4+F4,24,1q^2 + 1q^3 + 1q^4,B3: (1 0 2) -> (1 2 0) ; B4: (1 1 0 2) -> (0 1 2 0) ; F4: (1 0 2 1) -> (1 2 0 0)
23632,14,3,B3+B4+F4,4,1q^3 + 2q^4 + 3q^5 + 3q^6 + 2q^7 + 1q^8 + 1q^9,B3: (1 0 2) -> (1 3 0) ; B4: (2 1 0 2) -> (0 1 3 0) ; F4: (1 0 2 3) -> (1 3 0 0)
23638,14,3,B3+B4+F4,4,1q^2 + 4q^3 + 6q^4 + 5q^5 + 4q^6 + 2q^7 + 1q^8,B3: (1 0 2) -> (2 1 2) ; B4: (2 1 0 2) -> (0 2 1 2) ; F4: (1 0 2 3) -> (2 1 2 0)
23640,14,3,B3+B4+F4,5,1q^2 + 3q^3 + 2q^4 + 3q^5 + 1q^6 + 1q^7,B3: (1 0 2) -> (2 2 0) ; B4: (2 1 0 2) -> (0 2 2 0) ; F4: (1 0 2 2) -> (2 2 0 0)
23648,12,3,B3+B4+F4,8,2q^2 + 2q^3 + 3q^4 + 1q^5 + 1q^6,B3: (1 0 2) -> (3 0 2) ; B4: (2 1 0 2) -> (0 3 0 2) ; F4: (1 0 2 2) -> (3 0 2 0)
23650,11,3,B3+B4+F4,9,1q^3 + 1q^4 + 1q^5,B3: (1 0 2) -> (3 1 0) ; B4: (2 1 0 2) -> (0 3 1 0) ; F4: (1 0 2 1) -> (3 1 0 0)
23654,14,3,B3+B4+F4,3,2q^4 + 3q^5 + 4q^6 + 3q^7 + 3q^8 + 1q^9 + 1q^10,B3: (1 0 2) -> (3 2 0) ; B4: (3 1 0 2) -> (0 3 2 0) ; F4: (1 0 2 3) -> (3 2 0 0)
23663,12,3,B3+B4+F4,5,1q^2 + 3q^3 + 3q^4 + 3q^5 + 1q^6 + 1q^7,B3: (1 0 3) -> (0 2 3) ; B4: (1 1 0 3) -> (0 0 2 3) ; F4: (1 0 3 3) -> (0 2 3 0)
23665,12,3,B3+B4+F4,6,1q^2 + 2q^3 + 2q^4 + 1q^5 + 1q^6,B3: (1 0 3) -> (0 3 1) ; B4: (1 1 0 3) -> (0 0 3 1) ; F4: (1 0 3 2) -> (0 3 1 0)
23668,9,3,B3+B4+F4,39,1q + 3q^2 + 3q^3 + 2q^4 + 1q^5,B3: (1 0 3) -> (1 1 3) ; B4: (1 1 0 3) -> (0 1 1 3) ; F4: (1 0 3 2) -> (1 1 3 0)
23669,8,3,B3+B4+F4,42,2q^2 + 2q^3 + 1q^4,B3: (1 0 3) -> (1 2 1) ; B4: (1 1 0 3) -> (0 1 2 1) ; F4: (1 0 3 1) -> (1 2 1 0)
23673,13,3,B3+B4+F4,4,2q^3 + 5q^4 + 6q^5 + 5q^6 + 3q^7 + 2q^8 + 1q^9,B3: (1 0 3) -> (1 3 1) ; B4: (2 1 0 3) -> (0 1 3 1) ; F4: (1 0 3 3) -> (1 3 1 0)
23677,13,3,B3+B4+F4,4,1q^2 + 5q^3 + 7q^4 + 6q^5 + 4q^6 + 2q^7 + 1q^8,B3: (1 0 3) -> (2 1 3) ; B4: (2 1 0 3) -> (0 2 1 3) ; F4: (1 0 3 3) -> (2 1 3 0)
23679,13,3,B3+B4+F4,5,1q^2 + 4q^3 + 4q^4 + 4q^5 + 2q^6 + 1q^7,B3: (1 0 3) -> (2 2 1) ; B4: (2 1 0 3) -> (0 2 2 1) ; F4: (1 0 3 2) -> (2 2 1 0)
23686,10,3,B3+B4+F4,20,2q^2 + 2q^3 + 3q^4 + 1q^5 + 1q^6,B3: (1 0 3) -> (3 0 3) ; B4: (2 1 0 3) -> (0 3 0 3) ; F4: (1 0 3 2) -> (3 0 3 0)
23687,9,3,B3+B4+F4,21,1q^2 + 2q^3 + 2q^4 + 1q^5,B3: (1 0 3) -> (3 1 1) ; B4: (2 1 0 3) -> (0 3 1 1) ; F4: (1 0 3 1) -> (3 1 1 0)
23691,13,3,B3+B4+F4,3,1q^3 + 5q^4 + 7q^5 + 8q^6 + 6q^7 + 4q^8 + 2q^9 + 1q^10,B3: (1 0 3) -> (3 2 1) ; B4: (3 1 0 3) -> (0 3 2 1) ; F4: (1 0 3 3) -> (3 2 1 0)
23702,14,3,B3+B4+F4,5,1q^3 + 1q^4 + 2q^5 + 1q^7,B3: (1 1 0) -> (0 3 0) ; B4: (1 1 1 0) -> (0 0 3 0) ; F4: (1 1 0 3) -> (0 3 0 0)
23706,12,3,B3+B4+F4,18,2q^2 + 3q^3 + 3q^4 + 2q^5 + 1q^6,B3: (1 1 0) -> (1 1 2) ; B4: (1 1 1 0) -> (0 1 1 2) ; F4: (1 1 0 3) -> (1 1 2 0)
23708,11,3,B3+B4+F4,21,1q + 1q^2 + 2q^3 + 1q^4 + 1q^5,B3: (1 1 0) -> (1 2 0) ; B4: (1 1 1 0) -> (0 1 2 0) ; F4: (1 1 0 2) -> (1 2 0 0)
23720,13,3,B3+B4+F4,4,1q^3 + 3q^4 + 2q^5 + 3q^6 + 1q^7 + 1q^8,B3: (1 1 0) -> (2 2 0) ; B4: (2 1 1 0) -> (0 2 2 0) ; F4: (1 1 0 3) -> (2 2 0 0)
23728,11,3,B3+B4+F4,7,3q^3 + 2q^4 + 3q^5 + 1q^6 + 1q^7,B3: (1 1 0) -> (3 0 2) ; B4: (2 1 1 0) -> (0 3 0 2) ; F4: (1 1 0 3) -> (3 0 2 0)
23730,10,3,B3+B4+F4,8,2q^2 + 1q^3 + 2q^4 + 1q^5 + 1q^6,B3: (1 1 0) -> (3 1 0) ; B4: (2 1 1 0) -> (0 3 1 0) ; F4: (1 1 0 2) -> (3 1 0 0)
23745,14,3,B3+B4+F4,5,1q^2 + 2q^3 + 3q^4 + 2q^5 + 1q^6 + 1q^7,B3: (1 1 1) -> (0 3 1) ; B4: (1 1 1 1) -> (0 0 3 1) ; F4: (1 1 1 3) -> (0 3 1 0)
23748,12,3,B3+B4+F4,18,3q^2 + 4q^3 + 3q^4 + 2q^5 + 1q^6,B3: (1 1 1) -> (1 1 3) ; B4: (1 1 1 1) -> (0 1 1 3) ; F4: (1 1 1 3) -> (1 1 3 0)
23749,11,3,B3+B4+F4,21,1q + 2q^2 + 3q^3 + 2q^4 + 1q^5,B3: (1 1 1) -> (1 2 1) ; B4: (1 1 1 1) -> (0 1 2 1) ; F4: (1 1 1 2) -> (1 2 1 0)
23759,13,3,B3+B4+F4,4,1q^2 + 4q^3 + 6q^4 + 5q^5 + 4q^6 + 2q^7 + 1q^8,B3: (1 1 1) -> (2 2 1) ; B4: (2 1 1 1) -> (0 2 2 1) ; F4: (1 1 1 3) -> (2 2 1 0)
23766,11,3,B3+B4+F4,7,1q^2 + 4q^3 + 3q^4 + 3q^5 + 1q^6 + 1q^7,B3: (1 1 1) -> (3 0 3) ; B4: (2 1 1 1) -> (0 3 0 3) ; F4: (1 1 1 3) -> (3 0 3 0)
23767,10,3,B3+B4+F4,8,2q^2 + 3q^3 + 3q^4 + 2q^5 + 1q^6,B3: (1 1 1) -> (3 1 1) ; B4: (2 1 1 1) -> (0 3 1 1) ; F4: (1 1 1 2) -> (3 1 1 0)
23780,14,3,B3+B4+F4,5,1q^2 + 3q^3 + 3q^4 + 3q^5 + 1q^6 + 1q^7,B3: (1 1 2) -> (0 3 2) ; B4: (1 1 1 2) -> (0 0 3 2) ; F4: (1 1 2 3) -> (0 3 2 0)
23782,11,3,B3+B4+F4,21,1q + 3q^2 + 4q^3 + 2q^4 + 1q^5,B3: (1 1 2) -> (1 2 2) ; B4: (1 1 1 2) -> (0 1 2 2) ; F4: (1 1 2 2) -> (1 2 2 0)
23784,10,3,B3+B4+F4,42,1q^2 + 1q^3 + 1q^4,B3: (1 1 2) -> (1 3 0) ; B4: (1 1 1 2) -> (0 1 3 0) ; F4: (1 1 2 1) -> (1 3 0 0)
23790,13,3,B3+B4+F4,4,1q^2 + 5q^3 + 8q^4 + 6q^5 + 5q^6 + 2q^7 + 1q^8,B3: (1 1 2) -> (2 2 2) ; B4: (2 1 1 2) -> (0 2 2 2) ; F4: (1 1 2 3) -> (2 2 2 0)
23792,12,3,B3+B4+F4,5,1q^2 + 3q^3 + 3q^4 + 3q^5 + 1q^6 + 1q^7,B3: (1 1 2) -> (2 3 0) ; B4: (2 1 1 2) -> (0 2 3 0) ; F4: (1 1 2 2) -> (2 3 0 0)
23796,10,3,B3+B4+F4,8,3q^2 + 4q^3 + 4q^4 + 2q^5 + 1q^6,B3: (1 1 2) -> (3 1 2) ; B4: (2 1 1 2) -> (0 3 1 2) ; F4: (1 1 2 2) -> (3 1 2 0)
23798,11,3,B3+B4+F4,9,2q^3 + 1q^4 + 1q^5,B3: (1 1 2) -> (3 2 0) ; B4: (2 1 1 2) -> (0 3 2 0) ; F4: (1 1 2 1) -> (3 2 0 0)
23802,14,3,B3+B4+F4,3,3q^4 + 4q^5 + 5q^6 + 4q^7 + 3q^8 + 1q^9 + 1q^10,B3: (1 1 2) -> (3 3 0) ; B4: (3 1 1 2) -> (0 3 3 0) ; F4: (1 1 2 3) -> (3 3 0 0)
23807,13,3,B3+B4+F4,5,1q^2 + 3q^3 + 4q^4 + 3q^5 + 1q^6 + 1q^7,B3: (1 1 3) -> (0 3 3) ; B4: (1 1 1 3) -> (0 0 3 3) ; F4: (1 1 3 3) -> (0 3 3 0)
23808,9,3,B3+B4+F4,39,1q + 3q^2 + 4q^3 + 2q^4 + 1q^5,B3: (1 1 3) -> (1 2 3) ; B4: (1 1 1 3) -> (0 1 2 3) ; F4: (1 1 3 2) -> (1 2 3 0)
23809,8,3,B3+B4+F4,114,2q^2 + 2q^3 + 1q^4,B3: (1 1 3) -> (1 3 1) ; B4: (1 1 1 3) -> (0 1 3 1) ; F4: (1 1 3 1) -> (1 3 1 0)
23813,12,3,B3+B4+F4,4,1q^2 + 6q^3 + 9q^4 + 7q^5 + 5q^6 + 2q^7 + 1q^8,B3: (1 1 3) -> (2 2 3) ; B4: (2 1 1 3) -> (0 2 2 3) ; F4: (1 1 3 3) -> (2 2 3 0)
23815,11,3,B3+B4+F4,5,1q^2 + 4q^3 + 5q^4 + 4q^5 + 2q^6 + 1q^7,B3: (1 1 3) -> (2 3 1) ; B4: (2 1 1 3) -> (0 2 3 1) ; F4: (1 1 3 2) -> (2 3 1 0)
23818,8,3,B3+B4+F4,20,3q^2 + 4q^3 + 4q^4 + 2q^5 + 1q^6,B3: (1 1 3) -> (3 1 3) ; B4: (2 1 1 3) -> (0 3 1 3) ; F4: (1 1 3 2) -> (3 1 3 0)
